assembly_accession	species	subsp	strain
GCF_006494895.1	Klebsiella pneumoniae		L39_2
GCF_006494915.1	Klebsiella pneumoniae		L482
GCF_006965405.1	Klebsiella pneumoniae		RJY9645
GCF_006974165.1	Klebsiella pneumoniae		R50
GCF_007197815.1	Klebsiella pneumoniae		NKU_Kleb8A7
GCF_007833555.1	Klebsiella pneumoniae		IA565
GCF_007833575.1	Klebsiella pneumoniae		DA12090
GCF_007873865.1	Klebsiella pneumoniae		PIMB15ND2KP27
GCF_008065415.1	Klebsiella pneumoniae		18-2374
GCF_008121515.1	Klebsiella pneumoniae		KLP268
GCF_008122285.1	Klebsiella pneumoniae		KP1677
GCF_008369685.1	Klebsiella pneumoniae		P094-1
GCF_008373035.2	Klebsiella pneumoniae		LSH-KPN25
GCF_008632415.1	Klebsiella pneumoniae		555
GCF_008632935.2	Klebsiella pneumoniae		D1
GCF_008693405.1	Klebsiella pneumoniae		FDAARGOS_630
GCF_008693425.1	Klebsiella pneumoniae		FDAARGOS_631
GCF_008693445.1	Klebsiella pneumoniae		FDAARGOS_629
GCF_008728415.1	Klebsiella pneumoniae		KP65
GCF_008728695.1	Klebsiella pneumoniae		KP58
GCF_008931345.1	Klebsiella pneumoniae		C51
GCF_008931565.1	Klebsiella pneumoniae		C2
GCF_009387775.1	Klebsiella pneumoniae		LH94
GCF_009387815.1	Klebsiella pneumoniae		TH164
GCF_009387915.1	Klebsiella pneumoniae		LH375
GCF_009387945.1	Klebsiella pneumoniae		LH102-A
GCF_009497695.1	Klebsiella pneumoniae		K2044
GCF_009497735.1	Klebsiella pneumoniae		13190
GCF_009497755.1	Klebsiella pneumoniae		11420
GCF_009556655.1	Klebsiella pneumoniae		SMU18037509
GCF_009601745.1	Klebsiella pneumoniae		TK421
GCF_009648995.1	Klebsiella pneumoniae		LEMB18
GCF_009660375.2	Klebsiella pneumoniae		CriePir116
GCF_009661455.2	Klebsiella pneumoniae		CriePir154
GCF_009661535.2	Klebsiella pneumoniae		CriePir75
GCF_009661615.2	Klebsiella pneumoniae		CriePir120
GCF_009661725.2	Klebsiella pneumoniae		CriePir45
GCF_009684575.1	Klebsiella pneumoniae		C789
GCF_009720445.1	Klebsiella pneumoniae		KP2
GCF_009731405.1	Klebsiella pneumoniae		JUNP254
GCF_009734105.1	Klebsiella pneumoniae		BD_DM_782
GCF_009755705.1	Klebsiella pneumoniae		WCGKP294
GCF_009791475.1	Klebsiella pneumoniae		BD_DM_914
GCF_009791495.1	Klebsiella pneumoniae		BD_DM_697
GCF_009833945.1	Klebsiella pneumoniae		KP19-2029
GCF_009834285.1	Klebsiella pneumoniae		XJ-K2
GCF_009856585.1	Klebsiella pneumoniae		Kp36
GCF_009884395.1	Klebsiella pneumoniae		YML0508
GCF_009884415.1	Klebsiella pneumoniae		WSD411
GCF_009906875.1	Klebsiella pneumoniae		158590
GCF_009914255.1	Klebsiella pneumoniae		LSH-KPN25
GCF_009930975.1	Klebsiella pneumoniae		721005
GCF_009930995.1	Klebsiella pneumoniae		309074
GCF_009931015.1	Klebsiella pneumoniae		283747
GCF_009931035.1	Klebsiella pneumoniae		205880
GCF_009931055.1	Klebsiella pneumoniae		11311
GCF_009931095.1	Klebsiella pneumoniae		11305
GCF_009931175.1	Klebsiella pneumoniae		23
GCF_010183605.1	Klebsiella pneumoniae		C2974
GCF_010183625.1	Klebsiella pneumoniae		C2972
GCF_010183645.1	Klebsiella pneumoniae		C2660
GCF_010183665.1	Klebsiella pneumoniae		C2601
GCF_010183685.1	Klebsiella pneumoniae		C2414
GCF_010183705.1	Klebsiella pneumoniae		C2343
GCF_010183725.1	Klebsiella pneumoniae		C2315
GCF_010367305.1	Klebsiella pneumoniae		TA6363
GCF_010450855.1	Klebsiella pneumoniae		KP18-3-8
GCF_010586985.1	Klebsiella pneumoniae		Xen39
GCF_011006575.1	Klebsiella pneumoniae		K2606
GCF_011022255.1	Klebsiella pneumoniae		KP18-2079
GCF_011045775.1	Klebsiella pneumoniae		2019036D
GCF_011058615.1	Klebsiella pneumoniae		20467
GCF_011065365.1	Klebsiella pneumoniae		33
GCF_011065385.1	Klebsiella pneumoniae		39
GCF_011066505.1	Klebsiella pneumoniae		16HN-263
GCF_011068365.1	Klebsiella pneumoniae		Kp8701
GCF_011106605.1	Klebsiella pneumoniae		KPC160121
GCF_011106775.1	Klebsiella pneumoniae		KPC160117
GCF_011106795.1	Klebsiella pneumoniae		KPC160125
GCF_011129215.1	Klebsiella pneumoniae		KPC160132
GCF_011742285.2	Klebsiella pneumoniae		BA39649
GCF_011742415.2	Klebsiella pneumoniae		BP3636
GCF_011742505.2	Klebsiella pneumoniae		BA2105
GCF_011742515.2	Klebsiella pneumoniae		BA12818
GCF_011742585.2	Klebsiella pneumoniae		BA10835
GCF_011764365.2	Klebsiella pneumoniae		MH15-269M
GCF_011769725.1	Klebsiella pneumoniae		47733
GCF_011769805.1	Klebsiella pneumoniae		50595
GCF_011769825.1	Klebsiella pneumoniae		51015
GCF_011784905.1	Klebsiella pneumoniae		NMI4661_17
GCF_012029695.2	Klebsiella pneumoniae		NU-CRE195
GCF_012029895.2	Klebsiella pneumoniae		NU-CRE236
GCF_012029935.2	Klebsiella pneumoniae		NU-CRE055
GCF_012029945.2	Klebsiella pneumoniae		NU-CRE193
GCF_012029975.2	Klebsiella pneumoniae		NU-CRE085
GCF_012113615.1	Klebsiella pneumoniae		Bckp091
GCF_012113635.1	Klebsiella pneumoniae		Bckp212
GCF_012113655.1	Klebsiella pneumoniae		Bckp067
GCF_012166915.1	Klebsiella pneumoniae		Bckp021
GCF_012167075.1	Klebsiella pneumoniae		Bckp101
GCF_012167215.1	Klebsiella pneumoniae		Bckp186
GCF_012167385.1	Klebsiella pneumoniae		Bckp206
GCF_012168575.2	Klebsiella pneumoniae		SCH6109
GCF_012169405.1	Klebsiella pneumoniae		KPN55602
GCF_012944055.1	Klebsiella pneumoniae		KPN41053
GCF_013168295.1	Klebsiella pneumoniae		SMKP03
GCF_013282295.1	Klebsiella pneumoniae		NMBU-W07E18
GCF_013283935.1	Klebsiella pneumoniae		WSHvKP
GCF_013305305.1	Klebsiella pneumoniae		39427
GCF_013305325.1	Klebsiella pneumoniae		MS14393
GCF_013348885.1	Klebsiella pneumoniae		KP20194b2
GCF_013348905.1	Klebsiella pneumoniae		KP20194f
GCF_013348925.1	Klebsiella pneumoniae		KP20194c
GCF_013348945.1	Klebsiella pneumoniae		KP20194d
GCF_013348965.1	Klebsiella pneumoniae		KP20194e
GCF_013348985.1	Klebsiella pneumoniae		KP20194c5
GCF_013349005.1	Klebsiella pneumoniae		KP20194c4
GCF_013349025.1	Klebsiella pneumoniae		KP20194c3
GCF_013349045.1	Klebsiella pneumoniae		KP20194b
GCF_013349065.1	Klebsiella pneumoniae		KP20194a2
GCF_013349085.1	Klebsiella pneumoniae		KP20194a
GCF_013376555.1	Klebsiella pneumoniae		KP20191015
GCF_013376595.1	Klebsiella pneumoniae		16BU137
GCF_013378155.1	Klebsiella pneumoniae		18KM1950
GCF_013378175.1	Klebsiella pneumoniae		18KM2517
GCF_013378195.1	Klebsiella pneumoniae		18KM2813
GCF_013378215.1	Klebsiella pneumoniae		19KM28
GCF_013378235.1	Klebsiella pneumoniae		19KM57
GCF_013378255.1	Klebsiella pneumoniae		18KM2445b
GCF_013378275.1	Klebsiella pneumoniae		AR142_2b
GCF_013378295.1	Klebsiella pneumoniae		EAN23
GCF_013378315.1	Klebsiella pneumoniae		EAN40
GCF_013407495.1	Klebsiella pneumoniae		112-17
GCF_013407605.1	Klebsiella pneumoniae		109-17
GCF_013407685.1	Klebsiella pneumoniae		110-17
GCF_013407715.1	Klebsiella pneumoniae		103-17
